Straatnaam,AFKOR,GAC Code,Regio,Zone,POINT_X,POINT_Y
Yolastraat,JOL,24110,2,24,-70.0407545,12.52456176
Zandstraat,ZA,31040,3,31,-70.03147959,12.52001578
Zeewijk,ZW,81020,8,81,-69.91650277,12.43685721
Zepp Lampestraat,ZE,32120,3,32,-70.02674953,12.51135625
Zoutmanstraat,ZO,31180,3,31,-70.03584619,12.51804786
Zuidstraat,ZU,31220,3,31,-70.03380213,12.51810108
Zumbo,ZUM,53030,5,53,-69.97267265,12.52658032
Zuster Candidastraat,ZCA,33030,3,33,-70.03496452,12.5219237
Zuster Cherubinestraat,ZCH,33040,3,33,-70.03444178,12.52204543
Zuster Lidwinastraat,ZLI,33050,3,33,-70.0342259,12.5216797
Zwollestraat,ZWO,72290,7,72,-69.91915183,12.4452951
