Straatnaam,AFKOR,GAC Code,Regio,Zone,POINT_X,POINT_Y
Caya Ritmo,CR,21023,2,21,-70.05061332,12.54934268
Caya Rufo Wever,CRW,32330,3,32,-70.02969395,12.51596781
Caya Saba,CSB,84110,8,84,-69.90750133,12.43483829
Caya Seida,CSE,43095,4,43,-70.00039985,12.54586831
Caya Soeur Desideria,DES,23013,2,23,-70.04923509,12.53994762
Caya Soeur Dionysia,DIO,23011,2,23,-70.04977946,12.54121366
Caya Soeur Dorothea,DOR,23014,2,23,-70.04922407,12.53933438
Caya Soeur Gerarda Majella,MAJ,23017,2,23,-70.04868935,12.53964545
Caya Soeur Meletia,MEL,23016,2,23,-70.0502053,12.53988407
Caya Soeur Nicephora,NIC,23015,2,23,-70.04921304,12.53869225
Caya Soeur Rosalie,ROS,23012,2,23,-70.04928379,12.54058308
Caya Solognier,CSL,72108,7,72,-69.91864277,12.44673376
Caya St. Croix,SCX,84070,8,84,-69.9066673,12.43593237
Caya St. Eustatius,SST,84120,8,84,-69.90827403,12.43506443
Caya St. John,SXJ,84050,8,84,-69.90507978,12.43527118
Caya St. Kitts,STK,84040,8,84,-69.90730007,12.43509593
Caya St. Lucia,STL,84060,8,84,-69.90530227,12.43566324
Caya St. Maarten,STM,84010,8,84,-69.90648302,12.43451513
Caya St. Thomas,STH,84030,8,84,-69.90593843,12.43534584
Caya St. Vincent,CSV,84160,8,84,-69.90487967,12.43508176
Caya Sumpita,CS,27050,2,27,-70.03234402,12.53590109
Caya Tapushi,CTA,71083,7,71,-69.92703717,12.45070155
Caya Taratata,CTR,22031,2,22,-70.05280402,12.54121051
Caya Tilburg,CTI,72298,7,72,-69.91761078,12.44426117
Caya Totomo,CTO,15016,1,15,-70.02150255,12.5345782
Caya Trinidad & Tobago,CTT,84090,8,84,-69.9086393,12.43552767
Caya Valkenburg,CVK,72299,7,72,-69.91850594,12.44393853
Caya Velp,CVE,72296,7,72,-69.91854326,12.44460068
Caya Vries,CVR,72102,7,72,-69.91753574,12.44739136
Caya Yrad A. (Lord Boxoe) Illidge,LBX,86104,8,86,-69.89651411,12.43586331
Cayenastraat,CYS,73140,7,73,-69.91200283,12.44004298
Celsiusstraat,CE,28090,2,28,-70.03390279,12.52515473
Cherokezenstraat,CKZ,72040,7,72,-69.91506591,12.4468249
Chilestraat,CHI,26110,2,26,-70.03769244,12.52517091
Chopinstraat,CHO,32390,3,32,-70.03123683,12.51641007
Christiaanstraat,CHR,11130,1,11,-70.03446457,12.5693083
Chuchubistraat,CHU,38080,3,38,-70.00826593,12.49518579
Citroenstraat,CI,35220,3,35,-70.02246771,12.51570281
Clabiyostraat,CLA,36200,3,36,-70.01422753,12.51706392
Clavelstraat,CLV,73130,7,73,-69.91405581,12.4402502
Cleconchi,CLE,11095,1,11,-70.03621424,12.5758994
Coba Lodo,CLO,53100,5,53,-69.96302914,12.51623049
Cochinilla,CCH,52025,5,52,-69.98927611,12.50787382
Cocorobana,COB,27014,2,27,-70.03373388,12.53939399
Cocostraat,COC,36090,3,36,-70.0184205,12.51584681
Colombiastraat,CO,26170,2,26,-70.03725565,12.52407416
Coloradostraat,CRD,85030,8,85,-69.89892516,12.43536694
Columbusstraat,COL,31310,3,31,-70.03182096,12.51874532
Comanchestraat,CMH,72090,7,72,-69.91702854,12.44691874
Concessielaan,CON,33070,3,33,-70.03381617,12.52160591
Concordiabergweg,CBW,75170,7,75,-69.89673743,12.44430804
Constantijn Huygenstraat,CHS,32290,3,32,-70.02890819,12.51370363
Copernicusstraat,COP,33120,3,33,-70.03241462,12.52315272
Coribori,KOE,43050,4,43,-69.98669867,12.54362719
Costa Ricastraat,CRS,26070,2,26,-70.03783804,12.52567395
Cosuelostraat,COS,25050,2,25,-70.03744181,12.532129
Crijnssenstraat,CRJ,83020,8,83,-69.90977024,12.43563135
Cristal,CRI,43060,4,43,-69.9887588,12.54654101
Croesstraat,CRO,25140,2,25,-70.03537396,12.52786686
Cubastraat,CU,26060,2,26,-70.03889455,12.5255309
Cudawecha,KUD,14050,1,14,-70.01310548,12.55708284
Cudi,CUD,14015,1,14,-70.03243366,12.55049008
Cumana,CUM,34050,3,34,-70.01329983,12.51924882
Cunucu Abou,CAB,21020,2,21,-70.04483279,12.54712078
Cura Cabai,CC,64010,6,64,-69.92918217,12.44371237
Cura Cabai Zuid,CCZ,64015,6,64,-69.93118889,12.44272139
Curiestraat,CUR,33190,3,33,-70.02822044,12.52144647
Curimiao,KU,13060,1,13,-70.02868103,12.57863012
Cutisa,CUT,12015,1,12,-70.03834653,12.54835806
Dabaruidastraat,DAB,27140,2,27,-70.03326624,12.53134136
Dadelstraat,DAD,35270,3,35,-70.01984827,12.51858568
Dahliastraat,DHL,73190,7,73,-69.91046766,12.43841754
Daimari,DAI,57020,5,57,-69.94319038,12.52885721
Daltonstraat,DAL,28110,2,28,-70.03302937,12.5285022
Danza,DA,21021,2,21,-70.04906791,12.54852325
Datustraat,DAT,27120,2,27,-70.03269983,12.53160573
De La Sallestraat,DLS,28010,2,28,-70.0330241,12.5243868
De Palm Island,ISL,56090,5,56,-69.9838993,12.46885102
De Ruyterstraat,RUY,82040,8,82,-69.91253475,12.43706989
De Veerstraat,VST,71030,7,71,-69.92168091,12.4477084
De Vuyst,DVU,76075,7,76,-69.88675662,12.43822577
Depchi,DEP,41047,4,41,-70.00755356,12.54605521
Diamantbergweg,DBW,75110,7,75,-69.89675654,12.44301934
Diamante,DIA,11067,1,11,-70.04238268,12.59864731
Dieselstraat,DS,61080,6,61,-69.97439243,12.47007108
Dirkszstraat,DIZ,73060,7,73,-69.91161336,12.44279129
Dividivistraat,DI,35260,3,35,-70.02134004,12.51577335
Dominicanessenstraat,DO,33020,3,33,-70.03208073,12.52216262
Dominicaweg,DOM,35350,3,35,-70.02239852,12.51863349
Doormanstraat,DRM,81150,8,81,-69.91236543,12.43596151
Dr. Henriquezstraat,DRH,33250,3,33,-70.0289376,12.51978898
Dr. Horacio Oduber Boulevard,DHO,22015,2,22,-70.05735883,12.54293903
Dr. Oduberstraat,DRO,33220,3,33,-70.02829573,12.52199217
Dr. Schaepmanstraat,DSC,85010,8,85,-69.89898199,12.43716761
Driemasterstraat,DRI,24020,2,23,-70.03959525,12.53397903
Druivenstraat,DRU,35030,3,35,-70.0210214,12.51443129
Duartestraat,DU,11150,1,11,-70.03433874,12.56816979
Dwarsstraat,DW,31050,3,31,-70.03253976,12.51985676
Eckmeyerstraat,ECK,11190,1,11,-70.03325575,12.57029698
Ecuadorstraat,EC,26090,2,26,-70.03508332,12.52528722
Edenstraat,ED,25090,2,25,-70.0390074,12.53004402
Edisonstraat,EDI,28140,2,28,-70.03219894,12.52715168
El Salvadorstraat,ES,26030,2,26,-70.03968187,12.52599175
Elleboogstraat,EL,31090,3,31,-70.03647078,12.5205413
Emanstraat,EMA,31010,3,31,-70.03632606,12.52113277
Emmastraat,EM,26340,2,26,-70.03679213,12.52491135
Engelandstraat,EN,22050,2,22,-70.04805449,12.52968867
Erasmustraat,ER,33090,3,33,-70.03253875,12.52130366
Esmeralda,ESM,11064,1,11,-70.04114629,12.5956193
Esso Heights,EH,86110,8,86,-69.896375,12.43819668
Essoville,SOV,85160,8,85,-69.90235825,12.43670863
Fahrenheitstraat,FA,28190,2,28,-70.03374104,12.52624079
Faradaystraat,FS,61110,6,61,-69.97402033,12.46884359
Felicidad,FEL,15015,1,15,-70.02345823,12.53301062
Figaroastraat,FI,11120,1,11,-70.03361053,12.56860214
First Stick Hillweg,FSH,75150,7,75,-69.89772612,12.44348781
Fiyostraat,FIY,36290,3,36,-70.01522354,12.51569313
Flacciusstraat,FLC,25170,2,25,-70.03774061,12.52677601
Flag Staffweg,FSW,75180,7,75,-69.89609511,12.44411348
Flamboyanstraat,FBY,73170,7,73,-69.9115665,12.43933175
Flamingostraat,FLA,38020,3,38,-70.00531958,12.4948676
Flemmingstraat,FL,33180,3,33,-70.02768115,12.52167928
Florin,FLO,41045,4,41,-70.00863502,12.54533066
Fokkerstraat,FOK,22140,2,22,-70.04348901,12.52467514
Fontein,FON,77030,7,77,-69.90643801,12.49277045
Fordstraat,FO,22110,2,22,-70.04517252,12.52565813
Fortheuvelstraat,FEU,86090,8,86,-69.89235491,12.43403897
Frankenstraat,FR,11200,1,11,-70.03330075,12.57076047
Franklinstraat,FRA,22120,2,22,-70.04440449,12.52501199
Frankrijkstraat,FRK,22060,2,22,-70.04848032,12.53105514
Frans Halsstraat,FHL,83190,8,83,-69.90688818,12.43337995
Frederik Hendrikstraat,FHS,82200,8,82,-69.90818337,12.43714055
Fuerte,FUR,14065,1,14,-70.0099235,12.54653705
Fultonstraat,FU,28100,2,28,-70.03353608,12.52782944
Galileistraat,GAL,33150,3,33,-70.03124468,12.52274426
Gascogne,GAS,42040,4,42,-70.010911,12.53389083
Gasparito,GA,12060,1,12,-70.04158911,12.56260822
Geermanstraat,GST,73110,7,73,-69.91309599,12.4413038
Generaal-Majoor de Bruynewijk,BRU,63030,6,63,-69.94392867,12.45069261
George Madurostraat,MAR,32310,3,32,-70.03044458,12.51485113
Gielstraat,GI,11210,1,11,-70.03374083,12.57174035
Gilles Poppestraat,GPS,64040,6,64,-69.92852273,12.44273977
Goletstraat,GOL,24100,2,24,-70.041353,12.52590736
Golfweg,GLF,76070,7,76,-69.88456791,12.44070499
Gonzalitostraat,GON,38090,3,38,-70.01036412,12.49443153
Govert Flinckstraat,GOV,83220,8,83,-69.90601184,12.43291333
Granaatappelstraat,GR,35250,3,35,-70.0216547,12.51557475
Gravenhorststraat,GRS,71050,7,71,-69.92103001,12.44809738
Great Hillweg,GHW,74040,7,74,-69.90025268,12.44670698
Grenadaweg,GW,35320,3,35,-70.02074851,12.51917902
Grote Bergweg,GBW,75100,7,75,-69.89877393,12.44124604
Guatemalastraat,GU,26210,2,26,-70.03927266,12.5239227
